property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bedrooms,bathrooms
3bhk independent house for bachelor's,1784344893,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in East Hill,3bhk independent house for bachelor's","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7in0qzekub3k1-IN/image;s=850x0,3bhk independent house rent for bachelor's,Dominant properties,"East Hill, Kozhikode, Kerala",Houses & Villas,3,3
3bhk posh Fully furnished luxury flat in Kozhikode city,1782777453,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,3bhk posh Fully furnished luxury flat in Kozhikode city","{'amount': '52000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/24b7434amvik2-IN/image;s=850x0,3bhk posh Fully furnished luxury flat in Kozhikode city,Dominant properties,"Malaparamba, Kozhikode, Kerala",Apartments,3,3
3bhk posh Fully furnished flat in thondayad bypass,1782776595,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3bhk posh Fully furnished flat in thondayad bypass","{'amount': '60000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/i1q5kg8gr0xg-IN/image;s=850x0,3bhk posh Fully furnished flat near thondayad,Dominant properties,"Thondayad, Kozhikode, Kerala",Apartments,3,4
Upstair house for rent at west hill chungam,1781755569,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill Chungam,Upstair house for rent at west hill chungam","{'amount': '8500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/xefiml0j7j2o2-IN/image;s=850x0,Upstair house near westhill chungam. Single accomadation preferd. With car parking area,SHAJI KS,"West Hill Chungam, Kozhikode, Kerala",Houses & Villas,1,1
3bhk fully furnished house for short term in Kozhikode,1782219911,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,3bhk fully furnished house for short term in Kozhikode","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/2bqe2ag252p42-IN/image;s=850x0,3bhk fully furnished house for short term in Kozhikode,Dominant properties,"Karaparamba, Kozhikode, Kerala",Houses & Villas,3,3
Two Bhk Flat,1781860058,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Areekkad Nallalam,Two Bhk Flat","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/u8ztshrpm50m-IN/image;s=850x0,Two specious bedrooms two bathroom two attached bedroom dedicated parking space ground floor,Shamsudheen poonattil,"Areekkad Nallalam, Kozhikode, Kerala",Apartments,2,2
3bhk fully furnished house near eranjipalam junction,1781963956,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam,3bhk fully furnished house near eranjipalam junction","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/j9xvvgat4lia2-IN/image;s=850x0,3bhk fully furnished house rent near to eranjipalam junction,Dominant properties,"Eranjipalam, Kozhikode, Kerala",Houses & Villas,3,4
House for RENT,1784289291,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,House for RENT","{'amount': '12500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/jy4lua3zn2oh-IN/image;s=850x0,Girls only allowed,OLX User,"Pottammal, Kozhikode, Kerala",Houses & Villas,2,1
Home for Rent @ Chevarambhalam,1760492071,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,Home for Rent @ Chevarambhalam","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6k2umeey61zd1-IN/image;s=850x0,Compound wall well water new house for rent,Sunil Kc,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,3,3
House for rent @ thondayad,1760538482,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,House for rent @ thondayad","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/tml44xe0sf1v2-IN/image;s=850x0,Near by by pass compound wall well water new house for rent,Sunil Kc,"Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
